Country/Region,Material ID,Material Category,Material Subtype,Per Unit,kg CO2e,EF Source,EF Type,Type Rationale,Source Dataset Name,Source UUID / Link,Use Case,,Ecoinvent  Rationale,,,,
Global,MAT-Metal-0016,Metal,Wrought Aluminium,kg,13.42,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for aluminium, wrought alloy",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/5813/documentation,"Wrought Aluminium

✅ Suitable for catering equipment and interior elements where lightweight, corrosion resistance, and hygiene are essential. Ideal for applications such as utensils, trims, decorative panels, and kitchen equipment where ease of cleaning and non-reactivity with food are priorities. Its aesthetic appeal and formability make it a good choice for decorative interior fit-outs and non-structural elements.
❌ Not suitable for high-load structural furniture applications due to its lower strength compared to steel. Avoid using in furniture frames, supports, or environments requiring high mechanical durability, especially when aluminum's properties are not critical to performance.",,,,,,
China,MAT-Metal-0017,Metal,Wrought Aluminium,kg,26.40,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Aluminum,EPD_Wrought Aluminium Section Bar (Extruded Aluminium)_China_NEPD-43-42-MRA_072024 072029.pdf,"Wrought Aluminium

✅ Suitable for catering equipment and interior elements where lightweight, corrosion resistance, and hygiene are essential. Ideal for applications such as utensils, trims, decorative panels, and kitchen equipment where ease of cleaning and non-reactivity with food are priorities. Its aesthetic appeal and formability make it a good choice for decorative interior fit-outs and non-structural elements.
❌ Not suitable for high-load structural furniture applications due to its lower strength compared to steel. Avoid using in furniture frames, supports, or environments requiring high mechanical durability, especially when aluminum's properties are not critical to performance.",,,The declared unit is: 1 kilogram of product,,,
Global,MAT-Metal-0018,Metal,Aluminium Section Bar,kg,0.87,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for section bar extrusion, aluminium",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/8590/documentation,"Aluminium Section Bar

✅ Suitable for lightweight structural applications in office and commercial furniture, interior fit-outs, and catering equipment where corrosion resistance, clean aesthetics, and ease of fabrication are priorities. Ideal for partitions, table frames, modular units, and portable catering setups where portability and visual design matter more than mechanical strength.
❌ Avoid in heavy-duty or high-impact applications (e.g., workbenches, heavy shelving) in furniture, interior fit-outs, and catering equipment due to lower strength and stiffness compared to steel. Not recommended for exposure to high temperatures or aggressive environments without further treatment, which can compromise the material's integrity and longevity.",,,,,,
Global,MAT-Metal-0019,Metal,Cast Aluminium,kg,6.44,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for aluminium, cast alloy",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/7573/documentation,"Cast Aluminium

✅ Suitable for non-structural furniture components such as chair bases, table legs, and decorative fittings where moderate strength and corrosion resistance are required. Ideal for outdoor furniture and garden tools due to its excellent castability and resistance to weathering. 
❌ Not suitable for food-contact catering equipment due to potential hygiene concerns and lower surface finish quality. Also not recommended for high-precision interior elements or structural components where higher strength and surface finish are critical.",,,,,,
Global,MAT-Metal-0020,Metal,Chromed Steel,kg,2.33,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"market for steel, low-alloyed, hot rolled",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/7677/documentation,"Chromed Steel

✅ Suitable for structural elements in furniture and interior fit-outs where high strength and cost-efficiency are essential, such as load-bearing frames. Chromed steel offers an aesthetic finish and moderate corrosion resistance, making it appropriate for indoor applications where moisture exposure is minimal. 
❌ Not suitable for catering equipment or environments with high moisture or corrosive conditions without additional protective coatings. Chromed steel has poor corrosion resistance in such settings and contributes to high embodied emissions, making it less sustainable for applications requiring frequent cleaning or exposure to food and liquids.",,,,,,
Global,MAT-Metal-0021,Metal,Wrought Iron,kg,2.33,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"market for steel, low-alloyed, hot rolled",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/7677/documentation,"Wrought Iron

✅ Suitable for structural elements in furniture and interior fit-outs where high strength and aesthetic appeal are essential. Ideal for decorative elements, such as railings and frames, where its malleability and classic appearance are valued. 
❌ Not suitable for catering equipment or moisture-prone interiors without protective coating due to poor corrosion resistance. High embodied emissions make it less ideal for sustainable projects unless recycled content is prioritized. Not recommended for environments where hygiene and corrosion resistance are critical, such as kitchens or outdoor settings, unless adequately treated or coated.",,,,,,
Global,MAT-Metal-0022,Metal,Cast Iron,kg,1.86,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for cast iron,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/2023,"Cast Iron

✅ Suitable for heavy-duty furniture bases and interior elements that require high compressive strength and durability, such as radiators, structural supports, and industrial-style furniture. Cast iron's robustness makes it ideal for applications where weight and stability are prioritized. 
❌ Not suitable for catering equipment or fine interior finishes due to its high weight, brittleness, and susceptibility to corrosion without a protective coating. Additionally, its coarse texture and heavy appearance may not align with the aesthetic requirements of fine interior design.",,,,,,
Rest-of-World,MAT-Metal-0023,Metal,Brass,kg,5.92,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for brass,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/15401/documentation,"Brass

✅ Suitable for decorative furniture fittings and interior accents where aesthetics, workability, and corrosion resistance are important. Brass is ideal for handles, knobs, and inlays due to its attractive appearance and ease of shaping. Interior fit-outs that require a luxurious and classic look, such as railings, light fixtures, and trim details, where its warm color and resistance to tarnishing are valued. 
❌ Not suitable for high-strength structural components in furniture or interior fit-outs, as brass lacks the mechanical strength of materials like steel or aluminum. Catering equipment, particularly those requiring high durability and strength, due to brass's higher cost and lower mechanical strength compared to stainless steel, which is more suitable for food safety and hygiene standards.",,,,,,
Switzerland,MAT-Metal-0024,Metal,Brass,kg,5.80,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for brass,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/15806/documentation,"Brass

✅ Suitable for decorative furniture fittings and interior accents where aesthetics, workability, and corrosion resistance are important. Brass is ideal for handles, knobs, and inlays due to its attractive appearance and ease of shaping. Interior fit-outs that require a luxurious and classic look, such as railings, light fixtures, and trim details, where its warm color and resistance to tarnishing are valued. 
❌ Not suitable for high-strength structural components in furniture or interior fit-outs, as brass lacks the mechanical strength of materials like steel or aluminum. Catering equipment, particularly those requiring high durability and strength, due to brass's higher cost and lower mechanical strength compared to stainless steel, which is more suitable for food safety and hygiene standards.",,,,,,
Global,MAT-Metal-0025,Metal,Copper,kg,6.87,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for copper, cathode",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22945/documentation,"Copper

✅ Suitable for decorative furniture elements and interior fittings where excellent corrosion resistance, electrical conductivity, and aesthetic appeal are desired. Copper's antimicrobial properties also make it a good choice for touch surfaces in interior fit-outs. 
❌ Not suitable for structural furniture or catering equipment due to its high cost and lower mechanical strength compared to materials like steel or aluminum. Additionally, copper's softness makes it less ideal for applications requiring high durability or load-bearing capacity.",,,,,,
Global,MAT-Metal-0026,Metal,Zinc,kg,3.04,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for zinc,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/4402/documentation,"Zinc

✅ Suitable for use as a corrosion protection coating on steel furniture, interior fit-outs, and catering equipment. Through the process of galvanization, zinc enhances the durability and lifespan of these items by providing a protective barrier against rust and environmental wear. Zinc can also be used in small components or fittings where corrosion resistance is critical, such as fasteners or connectors in furniture, interior fit-outs, and catering equipment.
❌ Not suitable as a primary structural material for furniture, interior fit-outs, or catering equipment due to its brittleness and low tensile strength. It lacks the necessary structural integrity for load-bearing applications. Direct application of zinc in large, visible surfaces or as a primary material in furniture, interior fit-outs, or catering equipment design is limited due to its aesthetic and mechanical properties.",,,,,,
Global,MAT-Metal-0027,Metal,Titanium,kg,47.19,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for titanium,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/13925/documentation,"Titanium

✅ Suitable for high-end furniture and interior components where an exceptional strength-to-weight ratio, corrosion resistance, and long-term durability are critical. Ideal for luxury or bespoke projects that prioritize performance and longevity over cost. Specialized catering equipment that requires high durability and resistance to corrosion, particularly in environments exposed to harsh chemicals or extreme temperatures. 
❌ Not suitable for cost-sensitive furniture and interior fit-out projects due to the high cost of titanium and the significant emissions associated with its production. General catering equipment where cost efficiency is a priority, as the benefits of titanium may not justify the expense in standard applications.",,,,,,
Global,MAT-Metal-0028,Metal,Mild Steel,kg,2.33,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"market for steel, low-alloyed, hot rolled",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/7677/documentation,"Mild Steel

✅ Suitable for structural elements in furniture and interior fit-outs where high strength, durability, and cost-efficiency are essential. Ideal for load-bearing frames and components that do not require exposure to moisture or corrosive environments. 
❌ Not suitable for catering equipment or moisture-prone interiors without additional protective coatings or treatments due to its poor corrosion resistance. Additionally, consider the high embodied emissions of mild steel when sustainability is a priority, and explore alternative materials with lower environmental impact for eco-friendly projects.",,,,,,
China,MAT-Metal-0029,Metal,Galvanized Steel,kg,5.18,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,Galvanized coated steel sheet metal,EPD_Galvanized Coated Steel Sheet Metal_China_CN-00011_102024_102029.pdf,"Galvanized Steel

✅ Suitable for structural elements in furniture and interior fit-outs where high strength, durability, and cost-efficiency are essential. Ideal for load-bearing frames and components that require additional protection against corrosion, such as those in dry environments or with a protective coating applied. 
❌ Not suitable for catering equipment or environments prone to moisture and humidity without additional protective measures. Galvanized steel can corrode over time if exposed to moisture, and it has high embodied emissions, making it less ideal for applications where sustainability is a priority. Consider using stainless steel or other corrosion-resistant materials for these applications.",,,The declared unit is: 1 kilogram of product,,,
Global,MAT-Metal-0030,Metal,Nickel,kg,16.81,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for nickel, class 1",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/8302/documentation,"Nickel

✅ Suitable for use in stainless steel alloys for furniture and interior fit-outs where corrosion resistance, strength, and durability are critical. Nickel enhances the performance of stainless steel, making it ideal for environments that require long-lasting and low-maintenance materials. 
❌ Not suitable as a standalone material due to its high cost and significant environmental impact during extraction and processing. Additionally, nickel should not be used directly in catering equipment without being alloyed, as pure nickel can react with food and is not food-safe. Always ensure nickel is part of an appropriate alloy, such as stainless steel, to ensure safety and compliance with health standards.",,,,,,
Global,MAT-Plastic-0001,Plastic,Polypropylene (PP),kg,3.16,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polypropylene, granulate",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/720/documentation,"Polypropylene (PP)

✅ Suitable for molded furniture shells, internal panels, and flexible interior elements; also commonly used in catering containers, trays, or chairs due to chemical and moisture resistance. Low cost and moderate durability are strengths.
❌ Not suitable for high-stress mechanical parts or load-bearing frames; can deform under heat and stress. Sustainability profile limited by fossil sourcing and low recycling rates in furniture.",,,,,,
Global,MAT-Plastic-0002,Plastic,Acrylonitrile Butadiene Styrene (ABS),kg,4.85,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for acrylonitrile-butadiene-styrene copolymer,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/10034/documentation,"Acrylonitrile Butadiene Styrene (ABS)

✅ Suitable for rigid structural components in office furniture (e.g., arms, casings), interior accessories (e.g., hooks, bins), and food-safe enclosures in catering when appropriately certified. Excels where durability, impact resistance, and fine mold detail are required.
❌ Not suitable for visible surfaces in catering environments unless certified for hygiene due to limited chemical resistance and difficulty in post-consumer recycling. High fossil-based impact.",,,,,,
Rest-of-World,MAT-Plastic-0003,Plastic,Polyvinyl Chloride (PVC),kg,3.08,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polyvinyl chloride, emulsion polymerised",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/92952/documentation,"Polyvinyl Chloride (PVC)

✅ Suitable for interior fit-outs and catering equipment where durability, moisture resistance, and cost-effectiveness are critical. Ideal applications include flooring, wall coverings, and piping due to its robust nature and ability to withstand moisture and wear.
❌ Not suitable for furniture applications or for projects prioritizing high environmental sustainability. PVC is derived from fossil fuels, is not biodegradable, and often relies on virgin material, contributing to higher carbon emissions. It is also not recommended for interior elements that require frequent updates or replacements, as its environmental impact is significant over time. Consider alternative materials with better sustainability credentials for projects with a strong focus on environmental responsibility.",,,,,,
Europe,MAT-Plastic-0004,Plastic,Polyvinyl Chloride (PVC),kg,2.45,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polyvinyl chloride, emulsion polymerised",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/93796/documentation,"Polyvinyl Chloride (PVC)

✅ Suitable for interior fit-outs and catering equipment where durability, moisture resistance, and cost-effectiveness are critical. Ideal applications include flooring, wall coverings, and piping due to its robust nature and ability to withstand moisture and wear.
❌ Not suitable for furniture applications or for projects prioritizing high environmental sustainability. PVC is derived from fossil fuels, is not biodegradable, and often relies on virgin material, contributing to higher carbon emissions. It is also not recommended for interior elements that require frequent updates or replacements, as its environmental impact is significant over time. Consider alternative materials with better sustainability credentials for projects with a strong focus on environmental responsibility.",,,,,,
Rest-of-World,MAT-Plastic-0005,Plastic,Polycarbonate (PC),kg,6.31,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for polycarbonate,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/27784/documentation,"Polycarbonate (PC)

✅ Suitable for furniture and interior applications where high impact resistance, transparency, and lightweight properties are essential. Ideal for protective panels, lighting fixtures, decorative elements, and certain catering equipment that require durability and clarity, such as display cases and sneeze guards. 
❌ Not suitable for applications where sustainability, low environmental impact, or biodegradability are prioritized. Polycarbonate is derived from fossil fuels, typically involves the use of 100% virgin material, and is associated with high emissions. Consider alternative materials if environmental considerations are a priority, such as recycled plastics or bioplastics.",,,,,,
Europe,MAT-Plastic-0006,Plastic,Polycarbonate (PC),kg,5.17,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for polycarbonate,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/29244/documentation,"Polycarbonate (PC)

✅ Suitable for furniture and interior applications where high impact resistance, transparency, and lightweight properties are essential. Ideal for protective panels, lighting fixtures, decorative elements, and certain catering equipment that require durability and clarity, such as display cases and sneeze guards. 
❌ Not suitable for applications where sustainability, low environmental impact, or biodegradability are prioritized. Polycarbonate is derived from fossil fuels, typically involves the use of 100% virgin material, and is associated with high emissions. Consider alternative materials if environmental considerations are a priority, such as recycled plastics or bioplastics.",,,,,,
Global,MAT-Plastic-0007,Plastic,High-Density Polyethylene (HDPE),kg,2.94,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polyethylene, high density, granulat",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/5563/documentation,"High-Density Polyethylene (HDPE)

✅ Suitable for furniture, interior fit-outs, and catering equipment applications where lightweight, durable, and moisture-resistant materials are essential. Ideal for products such as food containers, trays, protective covers, outdoor furniture, and interior components due to its excellent chemical resistance, toughness, and ease of cleaning. HDPE's ability to withstand harsh environments makes it a practical choice for both indoor and outdoor settings.
❌ Not suitable for applications where environmental sustainability is a priority, such as projects requiring biodegradable materials or those with a focus on reducing carbon footprint. HDPE is derived from fossil fuels, typically lacks recycled content, and its production and disposal can contribute to environmental pollution. Consider alternatives like bioplastics or recycled materials for eco-conscious projects.",,,,,,
Rest-of-World,MAT-Plastic-0008,Plastic,Polyurethane (PU),kg,6.23,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polyurethane, rigid foam",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/18330/documentation,"Polyurethane (PU)

✅ Suitable for interior fit-outs and catering equipment applications that demand high thermal insulation and mechanical load-bearing capabilities, such as refrigerated units, insulated panels, and cold storage facilities. Its excellent insulating properties and structural strength make it ideal for maintaining temperature control and supporting heavy loads.
❌ Not suitable for furniture applications where environmental sustainability, biodegradability, or recyclability are priorities. Due to its fossil fuel origin, lack of recycled content, and thermoset nature, polyurethane rigid foam poses challenges in terms of environmental impact and end-of-life disposal. Consider alternative materials if reducing ecological footprint is a key concern.",,,,,,
Europe,MAT-Plastic-0009,Plastic,Polyurethane (PU),kg,4.38,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polyurethane, rigid foam",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/18428/documentation,"Polyurethane (PU)

✅ Suitable for interior fit-outs and catering equipment applications that demand high thermal insulation and mechanical load-bearing capabilities, such as refrigerated units, insulated panels, and cold storage facilities. Its excellent insulating properties and structural strength make it ideal for maintaining temperature control and supporting heavy loads.
❌ Not suitable for furniture applications where environmental sustainability, biodegradability, or recyclability are priorities. Due to its fossil fuel origin, lack of recycled content, and thermoset nature, polyurethane rigid foam poses challenges in terms of environmental impact and end-of-life disposal. Consider alternative materials if reducing ecological footprint is a key concern.",,,,,,
Rest-of-World,MAT-Plastic-0010,Plastic,Acrylic (PMMA),kg,7.92,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for polymethyl methacrylate,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/93084/documentation,"Acrylic (PMMA)

✅ Suitable for interior fit-outs and catering equipment that require excellent thermal insulation and mechanical load-bearing capabilities, such as refrigerated units, insulated panels, and cold storage facilities. Its high insulating properties and structural strength make it ideal for applications where maintaining temperature and supporting weight are critical. Additionally, it can be used in furniture design where transparency and lightweight characteristics are desired, such as in display cases and modern furniture pieces.
❌ Not suitable for applications where environmental sustainability is a priority. Acrylic (PMMA) is derived from fossil fuels, lacks recycled content, and is not biodegradable, which limits its recyclability. It can contribute to environmental pollution if not disposed of properly. Therefore, it is not recommended for projects aiming for high environmental standards or certifications, particularly in furniture, interior fit-outs, and catering equipment contexts.",,,,,,
Europe,MAT-Plastic-0011,Plastic,Acrylic (PMMA),kg,6.93,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for polymethyl methacrylate,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/92940/documentation,"Acrylic (PMMA)

✅ Suitable for interior fit-outs and catering equipment that require excellent thermal insulation and mechanical load-bearing capabilities, such as refrigerated units, insulated panels, and cold storage facilities. Its high insulating properties and structural strength make it ideal for applications where maintaining temperature and supporting weight are critical. Additionally, it can be used in furniture design where transparency and lightweight characteristics are desired, such as in display cases and modern furniture pieces.
❌ Not suitable for applications where environmental sustainability is a priority. Acrylic (PMMA) is derived from fossil fuels, lacks recycled content, and is not biodegradable, which limits its recyclability. It can contribute to environmental pollution if not disposed of properly. Therefore, it is not recommended for projects aiming for high environmental standards or certifications, particularly in furniture, interior fit-outs, and catering equipment contexts.",,,,,,
Rest-of-World,MAT-Plastic-0012,Plastic,Nylon (Polyamide),kg,8.65,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,market for nylon 6-6,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/20105/documentation,"Nylon (Polyamide)

✅ Suitable for furniture and interior fit-outs that demand high strength, abrasion resistance, and durability. Ideal for engineered components, upholstery, and textiles where robust mechanical properties are essential. Its resistance to wear and tear makes it a good choice for high-traffic areas and applications requiring long-lasting performance. 
❌ Not suitable for applications where environmental sustainability is a priority, such as projects emphasizing biodegradability or low carbon footprint. Nylon 6-6 is a fossil-based thermoplastic with high emissions during production and typically lacks recycled content. It is also not ideal for catering equipment that requires food-safe, non-reactive materials unless specifically treated or coated for such purposes.",,,,,,
Europe,MAT-Plastic-0013,Plastic,Nylon (Polyamide),kg,8.58,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,market for nylon 6-6,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/21959/documentation,"Nylon (Polyamide)

✅ Suitable for furniture and interior fit-outs that demand high strength, abrasion resistance, and durability. Ideal for engineered components, upholstery, and textiles where robust mechanical properties are essential. Its resistance to wear and tear makes it a good choice for high-traffic areas and applications requiring long-lasting performance. 
❌ Not suitable for applications where environmental sustainability is a priority, such as projects emphasizing biodegradability or low carbon footprint. Nylon 6-6 is a fossil-based thermoplastic with high emissions during production and typically lacks recycled content. It is also not ideal for catering equipment that requires food-safe, non-reactive materials unless specifically treated or coated for such purposes.",,,,,,
Global,MAT-Plastic-0014,Plastic,Polyethylene Terephthalate (PET),kg,3.66,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polyethylene terephthalate, granulate, bottle grade",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/6889/documentation,"Polyethylene Terephthalate (PET)

✅ Suitable for catering equipment and interior fit-out applications where food safety, lightweight properties, and durability are essential. Ideal for beverage containers and other food-contact items due to its excellent hygiene, chemical resistance, and clarity. PET is also suitable for certain interior fit-out applications where transparency and lightweight are desired, such as decorative panels or protective screens.
❌ Not suitable for furniture applications requiring high mechanical strength, rigidity, or environmental sustainability. PET is fossil-based, non-biodegradable, and typically has high emissions associated with its production. While PET can be recycled, the use of virgin bottle-grade PET often lacks recycled content, making it less favorable for sustainable projects. Consider alternative materials with higher recycled content or biodegradable options for environmentally focused projects.",,,,,,
Rest-of-World,MAT-Plastic-0015,Plastic,Expanded Polystyrene (EPS),kg,3.83,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"polystyrene production, expandable",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/3222/documentation,"Expanded Polystyrene (EPS)

✅ Suitable for interior fit-outs and catering sectors where lightweight thermal and sound insulation is required, as well as for protective packaging due to its excellent insulation properties and low cost. EPS is particularly useful in applications where temporary or short-term solutions are needed, such as event setups or temporary installations. 
❌ Not suitable for furniture or long-term applications due to its high emissions during production, lack of biodegradability, and poor mechanical strength. EPS is not recommended for structural components or areas where durability and longevity are critical, as it can degrade over time and is not environmentally sustainable.",,,,,,
Global,MAT-Plastic-0016,Plastic,Low-Density Polyethylene (LDPE),kg,3.66,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polyethylene terephthalate, granulate, bottle grade",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/6889/documentation,"Low-Density Polyethylene (LDPE)

✅ Suitable for interior fit-outs and catering packaging applications where flexibility, moisture resistance, and cost-effectiveness are prioritized. Ideal for protective films, cable coatings, and disposable items such as food packaging and liners, where durability and environmental exposure are not critical concerns.
❌ Not suitable for furniture applications requiring high mechanical strength and durability, such as load-bearing components or long-term use items. Additionally, consider the environmental impact of LDPE, as it is derived from fossil fuels and can contribute to plastic waste if not properly managed or recycled.",,,,,,
Rest-of-World,MAT-Plastic-0017,Plastic,Melamine-Formaldehyde (MF),kg,6.15,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for melamine formaldehyde resin,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/17609/documentation,"Melamine-Formaldehyde (MF)

✅ Suitable for applications in furniture laminates, interior coatings, and catering equipment surfaces where durability, chemical resistance, and heat tolerance are critical. Ideal for environments requiring hygienic, easy-to-clean surfaces, such as kitchens, dining areas, and high-traffic public spaces. 
❌ Not suitable for projects prioritizing sustainability through biodegradability or recycled content, as MF is a fossil-based, thermoset material with limited recyclability. Avoid in contexts where environmental impact is a primary concern, such as eco-friendly or green-certified projects, due to its energy-intensive production and curing processes.",,,,,,
Europe,MAT-Plastic-0018,Plastic,Melamine-Formaldehyde (MF),kg,5.78,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for melamine formaldehyde resin,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/18819/documentation,"Melamine-Formaldehyde (MF)

✅ Suitable for applications in furniture laminates, interior coatings, and catering equipment surfaces where durability, chemical resistance, and heat tolerance are critical. Ideal for environments requiring hygienic, easy-to-clean surfaces, such as kitchens, dining areas, and high-traffic public spaces. 
❌ Not suitable for projects prioritizing sustainability through biodegradability or recycled content, as MF is a fossil-based, thermoset material with limited recyclability. Avoid in contexts where environmental impact is a primary concern, such as eco-friendly or green-certified projects, due to its energy-intensive production and curing processes.",,,,,,
Global,MAT-Plastic-0019,Plastic,Polyvinyl Butyral (PVB),kg,3.49,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,market for ethylene vinyl acetate copolymer,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/18120/documentation,"Polyvinyl Butyral (PVB)

✅ Suitable for applications in furniture and interior fit-outs where cushioning and sealing are required, thanks to its flexibility, impact resistance, and strong adhesion properties. In catering equipment, PVB can be used effectively for hygienic sealants and protective packaging due to its ability to form a tight seal and resist moisture. 
❌ Not suitable for applications demanding high structural strength, such as load-bearing furniture components, due to its limited rigidity. Additionally, PVB is not ideal for projects with strict sustainability goals, as it is derived from fossil fuels, is not biodegradable, and has a relatively high environmental impact during production. Consider alternative materials with lower environmental footprints for sustainable projects.",,,,,,
Global,MAT-Plastic-0020,Plastic,Thermoplastic Elastomers (TPE),kg,3.49,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,market for ethylene vinyl acetate copolymer,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/18120/documentation,"Thermoplastic Elastomers (TPE)

✅ Suitable for applications in furniture and interiors where cushioning and sealing are required, thanks to their flexibility, impact resistance, and good adhesion properties. In the catering industry, TPE is valuable for hygienic sealants and flexible packaging due to its non-toxic nature and ease of cleaning. 
❌ Not suitable for applications that demand high structural strength or long-term sustainability goals. Its fossil fuel origin and lack of biodegradability contribute to a higher environmental impact during production and disposal, making it less ideal for eco-conscious projects.",,,,,,
Global,MAT-Glass-0001,Glass,Tempered Glass,kg,1.08,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"market for flat glass, uncoated",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/20027/documentation,"Tempered Glass

✅ Suitable for interior fit-outs, furniture, and catering equipment where transparency, smooth finish, and rigidity are desired. Ideal for applications where visibility and aesthetic appeal are priorities, such as office partitions, retail display cases, tabletops, and protective covers for catering displays.
❌ Not suitable for thermal insulation or privacy applications, as it lacks coatings for energy performance or opacity. Additionally, not recommended for areas requiring soundproofing or where safety and impact resistance are critical without additional treatment or lamination, such as in high-traffic furniture or catering environments where durability and safety are paramount.",,Global=ROW,,,,
Europe,MAT-Glass-0002,Glass,Tempered Glass,kg,1.00,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"market for flat glass, uncoated",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/21750/documentation,"Tempered Glass

✅ Suitable for interior fit-outs, furniture, and catering equipment where transparency, smooth finish, and rigidity are desired. Ideal for applications where visibility and aesthetic appeal are priorities, such as office partitions, retail display cases, tabletops, and protective covers for catering displays.
❌ Not suitable for thermal insulation or privacy applications, as it lacks coatings for energy performance or opacity. Additionally, not recommended for areas requiring soundproofing or where safety and impact resistance are critical without additional treatment or lamination, such as in high-traffic furniture or catering environments where durability and safety are paramount.",,,,,,
