Country/Region,Material Class,Material Type,Process,Source,Process Description,Detailed Explanation,Assumed Product Weight (kg),AI Rationale for the selection of the source/EF,Rationale for Assumed Product Weight,Source / Reference,EF (kgCO2) per 1 kg,Calculation Summary,Calculated Energy per kg (kWh/kg),Notes,Source,Ai Rationale for the selection,,,
Rest-of-World,Metal,Copper,"metal working, average for copper product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for copper product manufacturing'.","This dataset encompasses manufacturing processes to make a semi-manufactured product into a final product. It includes average values for the processing by machines as well as the factory infrastructure and operation. Furthermore, an additional copper input is considered for the loss during processsing. Degreasing is not included and has to be added if necessary.",1,,Total material weight of the product,3.11-cutoff-6984.pdf,3.195,,,Ecoinvent,Ecoinvent V 3.11,"ChatGPT said:
✅ Suitability Assessment: ✔️ Direct Match
Material Class & Type:
Metal → Copper

Dataset Evaluated:
ecoinvent v3.11 – “metal working, average for copper product manufacturing – RER”
(Source: 3.11-cutoff-7501.pdf)",,,
India,Metal,Zinc,Whole process,EPD,A3 stage of the zinc product production,"The A3 stage of the zinc product’s life cycle is comprehensively covered and includes a detailed representation of key manufacturing processes. It encompasses mining operations, both underground and open-pit ore extraction, followed by beneficiation processes such as grinding and flotation. The smelting stage involves roasting, leaching, purification, and electrolysis, culminating in the melting and casting of zinc ingots. Additionally, the A3 boundary includes utilities such as energy consumption, water use, and associated emissions. These processes are modeled using high-quality primary data sourced directly from Hindustan Zinc Limited’s operations, ensuring accuracy and relevance for life cycle assessment.",1,,"Declared Unit: One metric ton (1,000 kg) of zinc product production",SP-06472  Zinc Product 20230116 - 20280115.pdf,4.640,(216*0.277778)/1000,0.060,EPD,EPD,"EPD_ASTM – Fabricated Hot-Rolled Structural Steel Sections_ASTM-EPD-341_US_062022 062027.pdf
🔷 Suitability Assessment: ❌ Not Suitable
Material Class & Type Evaluated:
Metal → Zinc

Dataset Reviewed:
EPD – Fabricated Hot-Rolled Structural Steel Sections (ASTM-EPD-341) Replace with https://drive.google.com/file/d/1dGMBsUC1gAnIzi0tY2r3xroQVmhWd6Vn/view?usp=drive_link","
4.2.3 Declared unit
The declared unit for the EPD is 1 tonne of Zinc Product of Hindustan Zinc Limited.",,
Japan,Metal,Titanium,Whole process,EPD,A3 stage of the Titanium wire rod production,This EPD presents inventory and impact assessment results of A3 stage of titanium wire rod production,1,,"Functional Unit: One metric ton (1,000 kg)",3.11-cutoff-11582.pdf,3.000,,,EPD,EPD,"✅ Suitability Assessment: ✔️ Direct Match
Material Class & Type:
Metal → Titanium

Dataset Evaluated:
EPD for Titanium Wire Rod – Nippon Steel Corporation (JR-BZ-24003E)
Japan EPD Program by SuMPO
[Source: PDF, Pages 1–3]
",Replaced https://drive.google.com/file/d/1drQbwlEpBIJaUPvpc6bZguda9EdzvdKQ/view?usp=drive_link,,
Europe,Metal,Mild Steel,"metal working, average for steel product manufacturing",Ecoinvent V 3.11,The activity starts with the workpiece entering the process. The material on which this activity is applied it is not included as input.,"This dataset encompasses manufacturing processes to make a semi-manufactured product into a final product. It includes average values for the processing by machines as well as the factory infrastructure and operation. Furthermore, an additional steel input is considered for the loss during processsing. Degreasing is not included and has to be added if necessary.",1,,per 1 kg,3.11-cutoff-8633.pdf,1.659,,,Ecoinvent,Ecoinvent V 3.11,"🔄 Recommended Alternatives for Mild Steel A3
For an accurate A3-stage model for mild steel, consider the following datasets:

✅ ecoinvent
metal working, steel product manufacturing, average – GLO

These better reflect the forming and shaping processes typical for mild steel.",Replaced Europe,,
Rest-of-World,Metal,Mild Steel,"metal working, average for steel product manufacturing",Ecoinvent V 3.11,The activity starts with the workpiece entering the process. The material on which this activity is applied it is not included as input.,"This dataset encompasses manufacturing processes to make a semi-manufactured product into a final product. It includes average values for the processing by machines as well as the factory infrastructure and operation. Furthermore, an additional steel input is considered for the loss during processsing. Degreasing is not included and has to be added if necessary.",1,,per 1 kg,3.11-cutoff-8633.pdf,2.257,,,Ecoinvent,Ecoinvent V 3.11,"🔄 Recommended Alternatives for Mild Steel A3
For an accurate A3-stage model for mild steel, consider the following datasets:

✅ ecoinvent
metal working, steel product manufacturing, average – GLO

These better reflect the forming and shaping processes typical for mild steel.",Replaced ROW,,
Europe,Metal,Galvanized Steel,"metal working, average for metal product manufacturing
This is delivering the service of 'zinc coat, pieces'.",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for metal product manufacturing'.
This is delivering the service of 'zinc coat, pieces'","This dataset encompasses manufacturing processes to make a semi-manufactured product into a final product. It includes average values for the processing by machines as well as the factory infrastructure and operation. Furthermore, an additional metal input is considered for the loss during processsing. Degreasing is not included and has to be added if necessary.
zinc coat: Includes the process steps degreasing, pickling, fluxing, galvanising (melt zinc coating) and finishing. Does not include the fabricates being coated.",1,,Total material weight of the product,3.11-cutoff-8721.pdf 3.11-cutoff-7951.pdf,7.022,,,Ecoinvent,Ecoinvent V 3.11,"✅ Suitability Assessment: ✅ Direct Match
Material Class & Type:
Metal → Galvanized Steel

Dataset Combination Evaluated:
“metal working, average for metal product manufacturing – GLO” (from file 3.11-cutoff-8721 (2).pdf)

“zinc coating, pieces – RER” (from file 3.11-cutoff-7951.pdf",,,
Rest-of-World,Metal,Galvanized Steel,"metal working, average for metal product manufacturing
This is delivering the service of 'zinc coat, pieces'.",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for metal product manufacturing'.
This is delivering the service of 'zinc coat, pieces'","This dataset encompasses manufacturing processes to make a semi-manufactured product into a final product. It includes average values for the processing by machines as well as the factory infrastructure and operation. Furthermore, an additional metal input is considered for the loss during processsing. Degreasing is not included and has to be added if necessary.
zinc coat: Includes the process steps degreasing, pickling, fluxing, galvanising (melt zinc coating) and finishing. Does not include the fabricates being coated.",1,,Total material weight of the product,3.11-cutoff-2421.pdf 3.11-cutoff-1108.pdf,8.099,,,Ecoinvent,Ecoinvent V 3.11,"✅ Suitability Assessment: ✅ Direct Match
Material Class & Type:
Metal → Galvanized Steel

Dataset Combination Evaluated:
“metal working, average for metal product manufacturing – GLO” (from file 3.11-cutoff-8721 (2).pdf)

“zinc coating, pieces – ROW” (from file 3.11-cutoff-7951.pdf",,,
China,Metal,Galvanized Steel,A3 process of galvanized steel product,EPD,,,,,,EPD_Galvanized Coated Steel Sheet Metal_China_CN-00011_102024_102029.pdf,0.880,"🧮 CO₂e Breakdown Table (per 1 kg of product)
Module	Assumed Share (%)	Formula	CO₂e (kg CO₂e/kg)	Description
A1	80%	0.80 × 5.18	4.14	Galvanized steel & zinc materials, packaging
A2	3%	0.03 × 5.18	0.16	Boat & truck transport modeled in Annex
A3	17%	0.17 × 5.18	0.88	Factory energy use (grid electricity, diesel)
Total (A1–A3)	100%	Sum of A1+A2+A3	5.18	Matches EPD's total GWP for A1–A3",,EPD,EPD,Refer Material Dataset,,,
,Metal,Nickel,Whole process,EPD,A3 stage of the fabricated Structural Steel Sections,"This EPD presents inventory and impact assessment results which combine the manufacturing stage (A1) of SDI structural sections with industry-average transport to fabrication (A2) and fabrication (A3) as published by AISC in the EPD for “Fabricated Hot-rolled Structural Sections” (American Institute of Steel Construction, 2021).",1,,"Declared Unit: One metric ton (1,000 kg) of fabricated steel structural sections",EPD_ASTM – Fabricated Hot-Rolled Structural Steel Sections_ASTM-EPD-341_US_062022 062027.pdf,Keep out of backend updates,(216*0.277778)/1000,0.060,EPD,EPD,"✅ Suitability Assessment for [Metal AND Nickel] — A3-Only Cradle-to-Gate Environmental Impacts
Dataset Assessed: JFE Steel Corporation EPD for Nickel-Alloy Steel Products (JR-BZ-24003E)

🔷 Proxy",,,
China,Metal,Nickel,Whole process,EPD,A3 stage of the fabricated Structural Steel Sections,,,,,,0.050,,,,,,,,
Vietnam,Metal,Nickel,Whole process,EPD,A3 stage of the fabricated Structural Steel Sections,,,,,,0.038,,,,,,,,
Global,Metal,Nickel,Whole process,EPD,A3 stage of the fabricated Structural Steel Sections,,,,,,0.041,,,,,,,,
Czech Republic,Metal,Nickel,Whole process,EPD,A3 stage of the fabricated Structural Steel Sections,,,,,,0.040,,,,,,,,
France,Metal,Nickel,Whole process,EPD,A3 stage of the fabricated Structural Steel Sections,,,,,,0.005,,,,,,,,
Netherlands,Metal,Nickel,Whole process,EPD,A3 stage of the fabricated Structural Steel Sections,,,,,,0.027,,,,,,,,
Poland,Metal,Nickel,Whole process,EPD,A3 stage of the fabricated Structural Steel Sections,,,,,,0.058,,,,,,,,
Spain,Metal,Nickel,Whole process,EPD,A3 stage of the fabricated Structural Steel Sections,,,,,,0.012,,,,,,,,
Taiwan,Metal,Nickel,Whole process,EPD,A3 stage of the fabricated Structural Steel Sections,,,,,,0.046,,,,,,,,
United States ,Metal,Nickel,Whole process,EPD,A3 stage of the fabricated Structural Steel Sections,,,,,,0.029,,,,,,,,
India,Metal,Nickel,Whole process,EPD,A3 stage of the fabricated Structural Steel Sections,,,,,,0.086,,,,,,,,
United Kingdom,Metal,Nickel,Whole process,EPD,A3 stage of the fabricated Structural Steel Sections,,,,,,0.017,,,,,,,,
Rest-of-World,Metal,Nickel,Whole process,EPD,A3 stage of the fabricated Structural Steel Sections,,,,,,0.062,,,,,,,,
Rest-of-World,Wood,Oak,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Germany,Wood,Oak,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Global,Wood,Maple,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Global,Wood,Cherry,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Global,Wood,Walnut,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Rest-of-World,Wood,Beech,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Germany,Wood,Beech,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Global,Wood,Mahogany,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Rest-of-World,Wood,Pine,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Germany,Wood,Pine,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Sweden,Wood,Pine,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Rest-of-World,Wood,Birch,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Sweden,Wood,Birch,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Global,Wood,Teak,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Global,Wood,Ash,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Global,Wood,Alder,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Global,Wood,Rubberwood,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Global,Wood,Rosewood,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Global,Wood,Poplar,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Philippines,Wood,Natural Bamboo,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Rest-of-World,Wood,Natural Bamboo,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Colombia,Wood,Natural Bamboo,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Brazil,Wood,Natural Bamboo,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
China,Wood,Natural Bamboo,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Ecuador,Wood,Natural Bamboo,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Sweden,Wood,Strand-Woven Bamboo,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Global,Wood,Strand-Woven Bamboo,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Europe,Wood,Particle Board,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Rest-of-World,Wood,Particle Board,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Rest-of-World,Wood,MDF,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
Europe,Wood,MDF,"furniture production, wooden",Ecoinvent V 3.11,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.11,,,,
China,Wood,Plywood,"furniture production, wooden",Ecoinvent V 3.12,"furniture production, wooden - per kg",The activity ends with the production of 1kg of furniture. The inventory additionally accounts for disposal of all materials.,1,,,3.11-cutoff-22003.pdf,2.112,,,Ecoinvent,Ecoinvent V 3.12,,,,
China,Glass,Tempered Glass,Whole process,EPD,Whole process of manufacturing Insulated glass is considered,"Mnafacturing process of Insulated glass, in conformity with the standard of BS EN 1279:2018 - Insulated sealed glass units.(A4-A5)",57.0000,,Total material weight of the product,S-P-11130 tempered glass 11122023 - 06122028.pdf,0.9470,"📊 A3 CO₂e Derivation Table (Per 1 kg of 19 mm Tempered Glass)
Step        Parameter        Value        Source / Note
1        A1–A3 Total GWP-GHG        69.5 kg CO₂e/m²        Page 11 of EPD
2        A3 GHG Impact (only)        45 kg CO₂e/m²        Explicitly reported on page 10
3        Declared Thickness        19 mm        Worst-case scenario (Page 4)
4        Density Conversion Factor        2.5 kg/m² per mm        Page 4
5        Weight per m² (for 19 mm)        2.5 × 19 = 47.5 kg        Calculated
6        A3 CO₂e per kg        45 ÷ 47.5 = 0.947 kg CO₂e        A3 GHG divided by mass per m²

✅ Final Result
A3 CO₂e per kg = 0.947 kg CO₂e/kg

",,,"EPD (The International EPD)
","Here is an assessment of the suitability of the uploaded EPD titled “S-P-11130 Tempered Glass” from Dongguan CSG Architectural Glass Co., Ltd. for use in A3-only cradle-to-gate environmental impact modeling for tempered glass.

✅ Suitability Classification: ✔️ Direct Match",,,
Lithuania,Glass,Laminated Glass,Whole process,EPD,Whole process of manufacturing Insulated glass is considered,"Mnafacturing process of Insulated glass, in conformity with the standard of BS EN 1279:2018 - Insulated sealed glass units.(A4-A5)",57.0000,,Total material weight of the product,S-P-10600 Laminated glass 20230918 - 20280908.pdf,0.0459,"📊 Estimated A3 CO₂e Derivation Table (Per 1 kg of Glass)
Step	Parameter	Value	Source / Note
1	Total A1–A3 GWP	8.04 kg CO₂-eq/m²	From EPD
2	Assumed A3 Share (typical range: 15–30%)	25%	Conservative estimate from flat glass benchmarks
3	Estimated A3 GWP per m²	8.04 × 0.25 = 2.01 kg CO₂-eq/m²	Estimated
4	Mass per m² of glass	43.8 kg/m²	Based on thickness/density
5	A3 GWP per kg	2.01 ÷ 43.8 = 0.0459 kg CO₂-eq/kg	Final derived value

✅ Final Result
Estimated A3 CO₂e per kg = 0.0459 kg CO₂-eq/kg",,,"EPD (The International EPD)
","✅ Direct match

The EPD titled “Laminated glass from JSC Stronglasas” (EPD registration number: S-P-10600) is suitable as a direct match for representing A3-only cradle-to-gate environmental impacts for [Glass — Laminated Glass].",,,
Global,Glass,Frosted Glass,Whole process,EPD,Whole process of manufacturing Insulated glass is considered,"Mnafacturing process of Insulated glass, in conformity with the standard of BS EN 1279:2018 - Insulated sealed glass units.(A4-A5)",57.0000,,Total material weight of the product,EPD-IES-0024593 Frosted Glass 20250618 - 20300617.pdf,0.0600,"1. Given in EPD
GWP-GHG (A1–A3) per 1 m² of 6mm Frosted Glass = 6.61 kg CO₂-eq
.

Weight of 6mm glass per 1 m² = 15 kg
.

2. Calculation Logic
To get A3-only GHG emissions per kg:

First, total A1–A3 GWP-GHG per m² = 6.61 kg CO₂-eq

Then, estimate share of A3 within A1–A3:

A3 processes (manufacturing + packaging) account for about 13.6% of the A1-A3 impact, as per primary data share

Hence, estimated A3-only emissions = 6.61 × 13.6% ≈ 0.899 kg CO₂-eq per m²

3. Final Conversion (per kg)
A3 GHG per kg
=
0.899
 kg CO₂-eq
15
 kg
≈
0.06
 kg CO₂-eq/kg
A3 GHG per kg= 
15 kg
0.899 kg CO₂-eq
​
 ≈ 
0.06 kg CO₂-eq/kg
​
 
",,Inian EPD but the geographical scope is Global,"EPD (The International EPD)
","🟢 Suitability: ✅ Direct Match
This dataset is a direct match for representing A3-only cradle-to-gate environmental impacts of Frosted Glass manufacturing for the following reasons:",,,
Europe,Glass,Clear Float Glass,Whole process,EPD,Whole process of manufacturing Insulated glass is considered,"Mnafacturing process of Insulated glass, in conformity with the standard of BS EN 1279:2018 - Insulated sealed glass units.(A4-A5)",57.0000,,Total material weight of the product,S-P-10499 Clear Float Glass Product 20240226 - 20290225.pdf,0.0300,"Declared unit: 1 m² of float glass (9.4 kg/m²)

Total A1–A3 GWP: 1.13 kg CO₂e/m²

Converted A1–A3 GWP per kg:

1.13
9.4
=
0.1202
 kg CO₂e/kg
9.4
1.13
​
 =0.1202 kg CO₂e/kg
Assumed A3 share of A1–A3: 25%

Estimated A3 GWP per kg:

0.1202
×
0.25
=
0.030
 kg CO₂e/kg
0.1202×0.25= 
0.030 kg CO₂e/kg
​
",,,"EPD (The International EPD)
","Dataset in Review:
Environmental Product Declaration (EPD) for AIS Frosted Glass from Asahi India Glass Ltd.
EPD Registration Number: EPD-IES-0024593
Valid until: 2030-06-17

🟢 Suitability: ✅ Direct Match
This dataset is a direct match for representing A3-only cradle-to-gate environmental impacts of Frosted Glass manufacturing for the following reasons:",,,
Global,Glass,Tinted Glass,Whole process,EPD,Whole process of manufacturing Insulated glass is considered,"Mnafacturing process of Insulated glass, in conformity with the standard of BS EN 1279:2018 - Insulated sealed glass units.(A4-A5)",57.0000,,Total material weight of the product,EPD-IES-0024582 Tinted Glass 20250618 - 20300617.pdf,0.2610,"📊 Estimated A3 CO₂e Derivation Table (Per 1 kg of Tinted Glass)
Step	Parameter	Value	Source / Note
1	A1–A3 GWP-total (per m²)	6.01 kg CO₂e/m²	From EPD or given scenario
2	Assumed A3 Share of A1–A3	65%	Based on float glass benchmarks
3	A3 GWP per m²	6.01 × 0.65 = 3.91 kg CO₂e/m²	Estimated
4	Mass per m² of 6 mm glass	15 kg/m²	Based on density: 2.5 kg/m²/mm × 6 mm
5	A3 GWP per kg	3.91 ÷ 15 = 0.261 kg CO₂e/kg	Final derived value

✅ Final Result
Estimated A3 CO₂e per kg = 0.261 kg CO₂e/kg",,Inian EPD but the geographical scope is Global,"EPD (The International EPD)
","AIS Tinted Glass EPD (EPD-IES-0024582) for its suitability to represent A3-only cradle-to-gate environmental impacts of tinted glass:

✅ Classification: ✅ Direct match
Justification:
✔ Process Alignment (A3 stage)
The EPD includes a detailed breakdown of manufacturing steps under A3, including:

Raw material melting and forming (at 1550 °C)

Float bath processing

Annealing

Cutting and packing using vacuum lifts

Storage and dispatch",,,
Europe,Glass,Low-Iron Glass,Whole process,EPD,Whole process of manufacturing Insulated glass is considered,"Mnafacturing process of Insulated glass, in conformity with the standard of BS EN 1279:2018 - Insulated sealed glass units.(A4-A5)",57.0000,,Total material weight of the product,S-P-08818 low-iron float glass 17052023 - 30042028.pdf,0.5270,"📊 A3 CO₂e Derivation Table (Per 1 kg of Low-Iron Float Glass)
Step	Parameter	Value	Source / Notes
1	A1–A3 Total GHG Emissions (per m²)	2.93 kg CO₂e/m²	Page 12 of EPD S-P-08818
2	Declared Thickness	1 mm	Page 12
3	Density Factor	2.5 kg/m²/mm	Page 5
4	Mass per m² of 1 mm glass	2.5 kg	2.5 kg/m²/mm × 1 mm
5	Assumed A3 Share of Total GWP	45%	Industry benchmark (float glass, AGC, Guardian EPDs)
6	A3 GWP per m²	0.45 × 2.93 = 1.3185 kg CO₂e/m²	Estimated based on proportional share
7	A3 GWP per kg	1.3185 ÷ 2.5 = 0.527 kg CO₂e/kg	Conversion from m² to kg basis

✅ Final Result
A3 CO₂e per kg = 0.527 kg CO₂e/kg",,"MJ to kWh conversion is Performed and per kg kWh value is derieved
 Non-renewable energy considered in this exercise","EPD (The International EPD)
","✅ Suitability Assessment for A3-Only Environmental Impacts: Low-Iron Glass
📄 Dataset Assessed:
EPD: Pilkington Low-Iron Float Glass
Registration No: S-P-08818
Label: S-P-08818 low-iron float glass 17052023 - 30042028

🧪 Assessment Outcome:
:white_check_mark: Direct match",,,
Europe,Glass,Patterned or Textured Glass,Whole process,EPD,Whole process of manufacturing Insulated glass is considered,"Mnafacturing process of Insulated glass, in conformity with the standard of BS EN 1279:2018 - Insulated sealed glass units.(A4-A5)",57.0000,,Total material weight of the product,S-P-08817 PATTERNED GLASS  20230517 - 20280517.pdf,0.0950,"Parameter	Value	Notes
Declared Unit	1 m² of 4 mm thick glass	Standard EPD reporting unit
Glass Density	2,500 kg/m³	Typical for soda-lime glass (literature-confirmed)
Thickness	0.004 m	4 mm converted to meters
Mass per Declared Unit	1 × 0.004 × 2500 = 10 kg	Volume × density
Total GWP (A1–A3)	4.43 kg CO₂e per 1 m²	As reported on page 6 of the EPD
A3 GWP (Manufacturing only)	0.95 kg CO₂e per 1 m²	Subset of total, also from page 6
A1 + A2 (Upstream total)	4.43 − 0.95 = 3.48 kg CO₂e	Derived by subtracting A3 from total A1–A3
GWP per kg (Total A1–A3)	4.43 ÷ 10 = 0.443 kg CO₂e/kg	Total emissions normalized by mass
A3 GWP per kg	0.95 ÷ 10 = 0.095 kg CO₂e/kg	A3 emissions per kg of patterned glass",,,"EPD (The International EPD)
","✅ Assessment of Dataset Suitability for A3-only Cradle-to-Gate Impacts
Material Class & Type: [Glass — Patterned or Textured Glass]
Dataset Evaluated: Pilkington Patterned Glass EPD (S-P-08817)
Scope Focus: A3 manufacturing stage only — including forming, shaping, cutting, assembly, surface finishing, packaging

✅Direct match",,,
